scripCode,companyName,change,change,change
534139,SCHNEIDER ELECTRIC INFRASTRUCTURE LTD.,-12.6,-12.85,3.85
532790,Tanla Platforms Ltd,6.75,7.65,-12.45
500335,BIRLA CORPORATION LTD.,-27.15,-34.25,-4.1
530007,JK TYRE & INDUSTRIES LTD.,0.1,1.4,-4.85
541557,Fine Organic Industries Ltd,-21.6,22.85,9.2
532966,Titagarh Rail Systems Ltd,3.2,8.4,-35.2
532784,Sobha Limited,14.05,-13.25,95.55
533293,KIRLOSKAR OIL ENGINES LTD.,-8.05,-12.55,-5.35
500106,IFCI LTD.,0.39,-1.02,-2.57
515030,ASAHI INDIA GLASS LTD.,-1,-1.85,-6.3
500048,BEML LTD.,-70.5,-129.95,-33.05
540750,Indian Energy Exchange Ltd,0.4,0.7,-2.15
532181,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,1.1,2.2,-9.4
532178,ENGINEERS INDIA LTD.,-4,-5.2,-6.05
534076,Rhi Magnesita India Ltd,-5.4,-9.7,-7.6
502986,VARDHMAN TEXTILES LTD.,-4.3,-1.2,-6.65
500710,Akzo Nobel India Limited,-9.45,22.45,-34.3
543524,Rainbow Children's Medicare Ltd,8.05,13.05,6.5
543227,Happiest Minds Technologies Ltd,-1.95,-3.95,-7.7
505533,Westlife Foodworld Ltd,-6.55,-12,15.85
500265,MAHARASHTRA SEAMLESS LTD.,31.3,39.2,-11.6
540595,Tejas Networks Ltd,8.5,-3.7,14.4
543265,RailTel Corporation of India Ltd,3.3,0.2,-13.7
501425,BOMBAY BURMAH TRADING CORP.LTD.,-7.95,-6.45,-67.8
538835,Intellect Design Arena Ltd,-3.75,-11.65,6
543334,Nuvoco Vistas Corporation Ltd,1.4,-2.25,0.3
513377,MMTC LTD.,4.11,4.06,-1.3
532798,NETWORK18 MEDIA & INVESTMENTS LTD.,0.4,1.4,-3.9
532872,SUN PHARMA ADVANCED RESEARCH COMPANY LTD.,-5.55,-7.3,-9.15
524742,CAPLIN POINT LABORATORIES LTD.,-19.95,-35.35,-16.95
543243,Equitas Small Finance Bank Ltd,-1.8,-0.8,-3.2
504067,ZENSAR TECHNOLOGIES LTD.,-0.85,-5.05,0.3
506590,PCBL Ltd,-1.3,-4.7,-10.75
500031,BAJAJ ELECTRICALS LTD.-$,-9.55,-10.45,9.65
534597,Rattanindia Enterprises Ltd,-1.75,-2.22,-1.82
515055,Anant Raj Limited-$,0.4,-0.7,-5.65
500330,RAYMOND LTD.,-16.15,6.05,101.65
540596,Eris Lifesciences Ltd,-7.5,-9.25,2.7
540203,Sheela Foam Ltd,0.15,0.75,-7.95
500878,CEAT LTD.,4.15,-6.1,1.95
