SecurityCode,companyName,marketCapFull
530899,ASIA PACK LTD.,10.47
526841,SHAKTI PRESS LTD.,10.52
524628,PARKER AGROCHEM EXPORTS LTD.-$,10.63
514400,GARWARE SYNTHETICS LTD.,10.66
524592,JD ORGOCHEM LTD.,10.67
531911,GALAXY AGRICO EXPORTS LTD.,10.7
532100,INDO-CITY INFOTECH LTD.-$,10.7
519031,SHAH FOODS LTD.,10.76
526568,LONGVIEW TEA COMPANY LTD.,10.77
526935,Arunis Abode Ltd,10.8
513119,ABC GAS (INTERNATIONAL) LTD.,10.81
531360,GOLECHHA GLOBAL FINANCE LTD.,10.83
531387,HASTI FINANCE LTD.,10.84
531300,AMIT INTERNATIONAL LTD.,10.88
511760,Seven Hill Industries Limited,10.92
539110,Northlink Fiscal and Capital Services Ltd,10.96
531017,ARIHANT'S SECURITIES LTD.,10.97
543546,Healthy Life Agritec Ltd,11.01
538351,A.F. Enterprises Ltd,11.04
531512,ORIENT TRADELINK LTD.,11.1
531902,GALLOPS ENTERPRISE LTD.,11.12
509449,BHAGWATI OXYGEN LTD.,11.12
501622,AMALGAMATED ELECTRICITY CO.LTD.,11.13
531846,TRINITY LEAGUE INDIA LTD.,11.13
504731,INDIAN BRIGHT STEEL CO.LTD.,11.18
502893,UNITED INTERACTIVE LTD.,11.21
505797,MIPCO SEAMLESS RINGS (GUJARAT) LTD.,11.22
534659,JOINTECA EDUCATION SOLUTIONS LTD.,11.23
543623,Vedant Asset Ltd,11.24
538952,Abhinav Leasing & Finance Ltd,11.25
536868,Integra Telecommunication & Software Ltd,11.28
540267,Flora Corporation Ltd,11.28
536672,VCU Data Management Ltd,11.32
530421,KUWER INDUSTRIES LTD.,11.34
511543,GSB FINANCE LTD.,11.43
514240,Kush Industries Ltd,11.44
506365,CHEMO PHARMA LABORATORIES LTD.,11.48
511644,OMEGA INTERACTIVE TECHNOLOGIES LTD.,11.5
539378,Soni Medicare Ltd,11.52
531228,RANDER CORPORATION LTD.,11.57
542803,Vaxfab Enterprises Ltd,11.58
