,scripCode,companyName,currentValue,change,pChange,updatedOn,securityID,group,faceValue,industry,previousClose,previousOpen,dayHigh,dayLow,52weekHigh,52weekLow,weightedAvgPrice,totalTradedValue,totalTradedQuantity,2WeekAvgQuantity,marketCapFull,marketCapFreeFloat
472,540743,Godrej Agrovet Ltd,516.95,-1.10,-0.21,20 Feb 24 | 04:00 PM,GODREJAGRO,A  / S&P BSE 500,10.00,Fast Moving Consumer Goods,518.05,520.00,522.75,515.00,581.60,391.20,519.05,0.16 Cr.,0.03 Lakh,0.08 Lakh,"9,936.34 Cr.","1,689.18 Cr."
473,500670,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,673.95,-0.80,-0.12,20 Feb 24 | 04:00 PM,GNFC,A  / S&P BSE 500,10.00,Chemicals,674.75,677.30,681.10,669.10,814.85,484.45,675.51,2.37 Cr.,0.35 Lakh,0.54 Lakh,"9,903.07 Cr.","5,644.75 Cr."
474,539807,Infibeam Avenues Ltd,35.19,-0.37,-1.04,20 Feb 24 | 04:00 PM,INFIBEAM,A  / S&P BSE 500,1.00,Financial Services,35.56,35.61,35.69,35.00,40.00,12.85,35.20,9.76 Cr.,27.73 Lakh,54.14 Lakh,"9,777.10 Cr.","5,084.09 Cr."
475,523025,SAFARI INDUSTRIES (INDIA) LTD.,2039.40,-30.05,-1.45,20 Feb 24 | 04:00 PM,SAFARI,A  / S&P BSE SmallCap,2.00,Consumer Durables,2069.45,2065.00,2092.00,2028.20,2299.98,922.33,2059.97,0.22 Cr.,0.01 Lakh,0.05 Lakh,"9,700.86 Cr.","3,977.35 Cr."
476,543417,RateGain Travel Technologies Ltd,819.95,-15.15,-1.81,20 Feb 24 | 04:00 PM,RATEGAIN,A  / S&P BSE SmallCap,1.00,Information Technology,835.10,848.85,850.35,814.00,921.10,314.00,831.84,1.63 Cr.,0.20 Lakh,0.27 Lakh,"9,660.28 Cr.","4,540.33 Cr."
477,523405,JM FINANCIAL LTD.-$,100.85,-1.50,-1.47,20 Feb 24 | 04:00 PM,JMFINANCIL,A  / S&P BSE 500,1.00,Financial Services,102.35,102.60,103.40,100.50,114.95,57.38,101.73,1.86 Cr.,1.83 Lakh,3.27 Lakh,"9,636.51 Cr.","4,047.33 Cr."
478,517146,USHA MARTIN LTD.,312.50,-6.35,-1.99,20 Feb 24 | 04:00 PM,USHAMART,A  / S&P BSE 500,1.00,Capital Goods,318.85,324.95,324.95,311.30,379.70,164.45,316.79,1.78 Cr.,0.56 Lakh,0.56 Lakh,"9,523.18 Cr.","5,047.29 Cr."
479,532443,CERA SANITARYWARE LTD.,7571.65,104.95,1.41,20 Feb 24 | 04:00 PM,CERA,A  / S&P BSE 500,5.00,Consumer Durables,7466.70,7450.05,7631.00,7436.05,9782.25,5885.10,7559.48,0.53 Cr.,0.01 Lakh,0.01 Lakh,"9,847.59 Cr.","4,431.42 Cr."
480,530019,Jubilant Pharmova Ltd,600.60,-5.70,-0.94,20 Feb 24 | 04:00 PM,JUBLPHARMA,A  / S&P BSE 500,1.00,Healthcare,606.30,606.40,615.45,595.80,627.00,268.80,607.62,1.73 Cr.,0.28 Lakh,0.43 Lakh,"9,566.43 Cr.","4,496.22 Cr."
481,543959,SBFC Finance Ltd,90.90,1.04,1.16,20 Feb 24 | 04:00 PM,SBFC,B  / S&P BSE IPO,10.00,Financial Services,89.86,90.15,91.40,88.70,97.72,80.15,90.03,2.64 Cr.,2.93 Lakh,1.98 Lakh,"9,738.81 Cr.","2,142.54 Cr."
482,543482,Eureka Forbes Ltd,492.95,-4.45,-0.89,20 Feb 24 | 04:00 PM,EUREKAFORBE,A  / S&P BSE 500,10.00,Consumer Durables,497.40,512.00,513.00,489.55,598.75,355.00,499.11,12.20 Cr.,2.45 Lakh,1.90 Lakh,"9,533.22 Cr.","2,383.30 Cr."
483,500390,RELIANCE INFRASTRUCTURE LTD.,241.95,-0.80,-0.33,20 Feb 24 | 04:00 PM,RELINFRA,A  / S&P BSE SmallCap,10.00,Power,242.75,243.05,248.00,237.05,251.40,114.60,242.42,6.03 Cr.,2.49 Lakh,4.09 Lakh,"9,584.39 Cr.","6,613.23 Cr."
484,542011,Garden Reach Shipbuilders & Engineers Ltd,825.05,-13.95,-1.66,20 Feb 24 | 04:00 PM,GRSE,A  / S&P BSE SmallCap,10.00,Capital Goods,839.00,844.90,844.90,817.65,973.95,398.75,824.72,1.13 Cr.,0.14 Lakh,0.45 Lakh,"9,451.11 Cr.","2,457.29 Cr."
485,523704,MASTEK LTD.,3057.75,-65.05,-2.08,20 Feb 24 | 04:00 PM,MASTEK,A  / S&P BSE 500,5.00,Information Technology,3122.80,3117.50,3139.50,3032.60,3147.00,1475.45,3092.56,1.62 Cr.,0.05 Lakh,0.07 Lakh,"9,379.54 Cr.","4,595.98 Cr."
486,500690,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,237.70,-2.30,-0.96,20 Feb 24 | 04:00 PM,GSFC,A  / S&P BSE 500,2.00,Chemicals,240.00,240.00,245.50,236.65,322.45,116.10,240.84,3.83 Cr.,1.59 Lakh,4.40 Lakh,"9,471.81 Cr.","5,304.21 Cr."
487,544045,DOMS Industries Ltd,1578.15,7.70,0.49,20 Feb 24 | 04:00 PM,DOMS,B  / S&P BSE IPO,10.00,Fast Moving Consumer Goods,1570.45,1575.00,1589.65,1554.75,1654.30,1224.40,1571.87,1.78 Cr.,0.11 Lakh,0.17 Lakh,"9,577.36 Cr.","1,340.83 Cr."
488,522205,PRAJ INDUSTRIES LTD.,511.75,-1.05,-0.20,20 Feb 24 | 04:00 PM,PRAJIND,A  / S&P BSE 500,2.00,Capital Goods,512.80,517.50,519.50,505.85,650.30,299.00,511.73,3.73 Cr.,0.73 Lakh,0.61 Lakh,"9,406.63 Cr.","6,302.45 Cr."
489,532313,MAHINDRA LIFESPACE DEVELOPERS LTD.,601.65,-6.50,-1.07,20 Feb 24 | 04:00 PM,MAHLIFE,A  / S&P BSE 500,10.00,Realty,608.15,600.95,610.10,594.35,632.80,316.10,602.75,0.65 Cr.,0.11 Lakh,0.18 Lakh,"9,324.45 Cr.","4,475.74 Cr."
490,543980,Jupiter Life Line Hospitals Ltd,1439.25,8.80,0.62,20 Feb 24 | 04:00 PM,JLHL,B  / S&P BSE IPO,10.00,Healthcare,1430.45,1459.10,1464.75,1423.05,1470.00,960.00,1443.38,0.97 Cr.,0.07 Lakh,0.04 Lakh,"9,436.59 Cr.","1,509.85 Cr."
491,542323,KPI Green Energy Ltd,1559.95,6.85,0.44,20 Feb 24 | 04:00 PM,KPIGREEN,A  / S&P BSE SmallCap,10.00,Power,1553.10,1607.95,1630.75,1535.05,1630.75,259.16,1597.88,24.10 Cr.,1.51 Lakh,0.51 Lakh,"9,403.79 Cr.","4,137.67 Cr."
492,534618,Waaree Renewable Technologies Ltd,4650.15,221.40,5.00,20 Feb 24 | 04:00 PM,WAAREERTL,T  / S&P BSE SmallCap,10.00,Power,4428.75,4650.15,4650.15,4225.00,5145.25,569.00,4577.84,64.27 Cr.,1.40 Lakh,0.63 Lakh,"9,686.19 Cr.","2,324.69 Cr."
493,543573,Syrma SGS Technology Ltd,511.10,-5.45,-1.06,20 Feb 24 | 04:00 PM,SYRMA,A  / S&P BSE SmallCap,10.00,Capital Goods,516.55,515.50,524.05,509.15,705.00,250.80,516.83,1.55 Cr.,0.30 Lakh,0.77 Lakh,"9,076.37 Cr.","2,995.20 Cr."
494,542650,Metropolis Healthcare Ltd,1746.75,-40.25,-2.25,20 Feb 24 | 04:00 PM,METROPOLIS,A  / S&P BSE 500,2.00,Healthcare,1787.00,1786.10,1786.35,1730.15,1828.70,1176.05,1753.27,2.46 Cr.,0.14 Lakh,0.11 Lakh,"8,948.05 Cr.","4,474.03 Cr."
495,543276,Craftsman Automation Ltd,4452.00,123.30,2.85,20 Feb 24 | 04:00 PM,CRAFTSMAN,A  / S&P BSE 500,5.00,Automobile and Auto Components,4328.70,4349.90,4494.05,4330.00,5510.00,2699.40,4439.43,0.92 Cr.,0.02 Lakh,0.03 Lakh,"9,406.32 Cr.","4,232.85 Cr."
496,544057,Happy Forgings Ltd,962.15,-7.30,-0.75,20 Feb 24 | 04:00 PM,HAPPYFORGE,B  / S&P BSE IPO,2.00,Capital Goods,969.45,977.90,977.90,960.00,1087.85,917.10,965.35,0.89 Cr.,0.09 Lakh,0.14 Lakh,"9,063.92 Cr.","1,631.51 Cr."
497,540935,Galaxy Surfactants Ltd,2544.05,-18.00,-0.70,20 Feb 24 | 04:00 PM,GALAXYSURF,A  / S&P BSE 500,10.00,Chemicals,2562.05,2591.95,2591.95,2537.00,2989.35,2217.50,2553.00,0.22 Cr.,0.01 Lakh,0.01 Lakh,"9,019.87 Cr.","2,615.76 Cr."
498,524558,NEULAND LABORATORIES LTD.,7118.95,59.15,0.84,20 Feb 24 | 04:00 PM,NEULANDLAB,A  / S&P BSE SmallCap,10.00,Healthcare,7059.80,7068.65,7181.25,6990.00,7247.70,1544.75,7054.21,0.82 Cr.,0.01 Lakh,0.04 Lakh,"9,133.53 Cr.","6,119.47 Cr."
499,543657,Archean Chemical Industries Ltd,740.10,22.25,3.10,20 Feb 24 | 04:00 PM,ACI,A  / S&P BSE 500,2.00,Chemicals,717.85,719.55,749.00,703.95,749.00,495.00,728.51,8.86 Cr.,1.22 Lakh,0.60 Lakh,"9,132.61 Cr.","3,835.70 Cr."
500,543272,Easy Trip Planners Ltd,49.88,0.31,0.63,20 Feb 24 | 04:00 PM,EASEMYTRIP,A  / S&P BSE 500,1.00,Consumer Services,49.57,49.63,50.91,48.79,54.00,37.01,49.68,12.08 Cr.,24.30 Lakh,47.69 Lakh,"8,838.94 Cr.","2,916.85 Cr."
501,543413,Tega Industries Ltd,1297.60,-15.40,-1.17,20 Feb 24 | 04:00 PM,TEGA,A  / S&P BSE SmallCap,10.00,Capital Goods,1313.00,1310.10,1320.80,1280.00,1372.95,604.55,1302.49,0.64 Cr.,0.05 Lakh,0.14 Lakh,"8,633.21 Cr.","2,158.30 Cr."
502,532652,KARNATAKA BANK LTD.,246.70,-4.65,-1.85,20 Feb 24 | 04:00 PM,KTKBANK,A  / S&P BSE SmallCap,10.00,Financial Services,251.35,251.35,252.80,246.00,286.35,124.10,249.48,1.80 Cr.,0.72 Lakh,0.97 Lakh,"8,558.00 Cr.","7,702.20 Cr."
503,543397,Sapphire Foods India Ltd,1406.70,46.80,3.44,20 Feb 24 | 04:00 PM,SAPPHIRE,A  / S&P BSE 500,10.00,Consumer Services,1359.90,1360.70,1421.00,1360.70,1565.30,1120.70,1404.68,0.32 Cr.,0.02 Lakh,0.30 Lakh,"8,960.84 Cr.","6,093.37 Cr."
504,500338,Prism Johnson Ltd,170.60,-1.40,-0.81,20 Feb 24 | 04:00 PM,PRSMJOHNSN,A  / S&P BSE 500,10.00,Construction Materials,172.00,171.80,175.60,170.00,198.90,101.20,171.92,0.61 Cr.,0.35 Lakh,1.26 Lakh,"8,587.26 Cr.","2,060.94 Cr."
505,542141,Techno Electric & Engineering Company Ltd,811.30,27.05,3.45,20 Feb 24 | 04:00 PM,TECHNOE,A  / S&P BSE SmallCap,2.00,Construction,784.25,799.95,824.70,793.30,860.00,312.40,801.11,47.11 Cr.,5.88 Lakh,1.34 Lakh,"8,924.30 Cr.","3,391.23 Cr."
506,543427,Medplus Health Services Ltd,712.00,-1.60,-0.22,20 Feb 24 | 04:00 PM,MEDPLUS,A  / S&P BSE 500,2.00,Consumer Services,713.60,713.70,727.05,702.50,977.45,597.95,716.24,2.11 Cr.,0.30 Lakh,1.23 Lakh,"8,511.03 Cr.","3,489.52 Cr."
