SecurityCode,companyName,currentValue,change,pChange,updatedOn,securityID,group,faceValue,industry,previousClose,previousOpen,dayHigh,dayLow,52weekHigh,52weekLow,weightedAvgPrice,totalTradedValue,totalTradedQuantity,2WeekAvgQuantity,marketCapFull,marketCapFreeFloat
532810,POWER FINANCE CORPORATION LTD.,435.2,0.1,0.02,15 Feb 24 | 04:01 PM,PFC,A  / S&P BSE 100,10,Financial Services,435.1,437.65,438.3,430.15,477.8,108.88,433.86,21.24 Cr.,4.90 Lakh,8.78 Lakh,143620.43,"63,192.99 Cr."
532134,BANK OF BARODA,275.55,7.25,2.7,15 Feb 24 | 04:01 PM,BANKBARODA,A  / S&P BSE 100,2,Financial Services,268.3,270.4,277,269,277,153.15,273.68,42.97 Cr.,15.70 Lakh,18.19 Lakh,142496.88,"51,298.88 Cr."
532461,PUNJAB NATIONAL BANK,128.8,5.8,4.72,15 Feb 24 | 04:01 PM,PNB,A  / S&P BSE 200,2,Financial Services,123,124.75,129.3,123.6,129.3,44.41,126.88,92.36 Cr.,72.79 Lakh,61.33 Lakh,141821.88,"38,291.91 Cr."
500300,GRASIM INDUSTRIES LTD.,2082.85,4.55,0.22,15 Feb 24 | 04:01 PM,GRASIM,A  / S&P BSE 100,2,Construction Materials,2078.3,2083.15,2103.25,2073.95,2198,1521.89,2083.2,5.03 Cr.,0.24 Lakh,0.45 Lakh,141742.05,"79,375.55 Cr."
500547,BHARAT PETROLEUM CORPORATION LTD.,652.45,28.8,4.62,15 Feb 24 | 04:01 PM,BPCL,A  / S&P BSE 100,10,"Oil, Gas & Consumable Fuels",623.65,631.55,657,623.15,657,314.1,644.57,65.53 Cr.,10.17 Lakh,13.77 Lakh,141532.9,"62,274.47 Cr."
500251,TRENT LTD.,3953.95,19.3,0.49,15 Feb 24 | 04:01 PM,TRENT,A  / S&P BSE 100,1,Consumer Services,3934.65,3935,4004.4,3872.1,4004.4,1272.4,3930.14,9.32 Cr.,0.24 Lakh,1.21 Lakh,140557.96,"87,145.94 Cr."
543320,Zomato Ltd,154.85,2.65,1.74,15 Feb 24 | 04:00 PM,ZOMATO,A  / S&P BSE 100,1,Consumer Services,152.2,156.75,159.2,154,159.2,49,156.38,49.32 Cr.,31.54 Lakh,57.79 Lakh,136574.35,"86,041.84 Cr."
500049,BHARAT ELECTRONICS LTD.,185.9,4.25,2.34,15 Feb 24 | 04:01 PM,BEL,A  / S&P BSE 100,1,Capital Goods,181.65,183.25,186.25,182.65,196.25,89.68,184.97,21.54 Cr.,11.65 Lakh,9.73 Lakh,135888.79,"66,585.51 Cr."
500331,PIDILITE INDUSTRIES LTD.,2652,-10.35,-0.39,15 Feb 24 | 04:01 PM,PIDILITIND,A  / S&P BSE 100,1,Chemicals,2662.35,2659.95,2678.45,2641,2804,2250.85,2657.36,3.08 Cr.,0.12 Lakh,0.16 Lakh,134883.2,"40,464.96 Cr."
500188,HINDUSTAN ZINC LTD.,315.1,5.05,1.63,15 Feb 24 | 04:01 PM,HINDZINC,A  / S&P BSE 200,2,Metals & Mining,310.05,318,318,310.25,344,290.55,313.88,0.91 Cr.,0.29 Lakh,0.58 Lakh,133139.8,"7,988.39 Cr."
532388,INDIAN OVERSEAS BANK,69.11,2.11,3.15,15 Feb 24 | 04:01 PM,IOB,A  / S&P BSE 200,10,Financial Services,67,67.49,69.55,65.5,83.8,20.87,67.63,46.90 Cr.,69.34 Lakh,139.95 Lakh,130634.57,"5,225.38 Cr."
532955,REC Ltd,483.35,2,0.42,15 Feb 24 | 04:01 PM,RECLTD,A  / S&P BSE 200,10,Financial Services,481.35,486.85,489.35,479.4,524,110.75,483.77,11.96 Cr.,2.47 Lakh,8.57 Lakh,127276.88,"59,820.13 Cr."
532755,TECH MAHINDRA LTD.,1297.15,4.45,0.34,15 Feb 24 | 04:01 PM,TECHM,A  / S&P BSE SENSEX,5,Information Technology,1292.7,1306.6,1307.7,1291.05,1416,982.95,1301.57,2.32 Cr.,0.18 Lakh,0.71 Lakh,126625.05,"81,040.03 Cr."
540777,HDFC Life Insurance Company Ltd,585.25,-0.05,-0.01,15 Feb 24 | 04:01 PM,HDFCLIFE,A  / S&P BSE 100,10,Financial Services,585.3,586.3,589.05,582.1,710.6,457.95,586.53,1.61 Cr.,0.28 Lakh,2.23 Lakh,125877.98,"56,645.09 Cr."
532424,GODREJ CONSUMER PRODUCTS LTD.,1227.15,24.45,2.03,15 Feb 24 | 04:01 PM,GODREJCP,A  / S&P BSE 100,1,Fast Moving Consumer Goods,1202.7,1205,1234.85,1203.5,1299.9,895,1222.36,1.74 Cr.,0.14 Lakh,0.70 Lakh,125515.4,"46,440.70 Cr."
532155,GAIL (INDIA) LTD.,184.2,7.9,4.48,15 Feb 24 | 04:01 PM,GAIL,A  / S&P BSE 100,10,"Oil, Gas & Consumable Fuels",176.3,177.35,186.5,175.75,186.5,93.15,182.61,54.10 Cr.,29.63 Lakh,16.65 Lakh,121113.34,"49,656.47 Cr."
500400,TATA POWER CO.LTD.,378.8,5.3,1.42,15 Feb 24 | 04:01 PM,TATAPOWER,A  / S&P BSE 100,1,Power,373.5,376.75,382.25,374.85,412.75,182.45,378.38,29.36 Cr.,7.76 Lakh,19.82 Lakh,121039.46,"64,150.91 Cr."
500825,BRITANNIA INDUSTRIES LTD.,4945,-64.25,-1.28,15 Feb 24 | 04:01 PM,BRITANNIA,A  / S&P BSE 100,1,Fast Moving Consumer Goods,5009.25,4985.75,5030,4935.4,5386.25,4154,4966.92,1.42 Cr.,0.03 Lakh,0.09 Lakh,119109.37,"58,363.59 Cr."
539254,Adani Energy Solutions Ltd,1051.5,13.5,1.3,15 Feb 24 | 04:01 PM,ADANIENSOL,A  / S&P BSE 200,10,Power,1038,1054.95,1067.4,1042.8,1250,630,1052.76,14.53 Cr.,1.38 Lakh,0.89 Lakh,117294.06,"30,496.45 Cr."
539448,InterGlobe Aviation Ltd,3029.25,-64,-2.07,15 Feb 24 | 04:01 PM,INDIGO,A  / S&P BSE 100,10,Services,3093.25,3132.55,3132.55,3020,3301.4,1810.45,3055.95,3.57 Cr.,0.12 Lakh,0.31 Lakh,116922,"43,261.14 Cr."
500440,HINDALCO INDUSTRIES LTD.,513.35,5,0.98,15 Feb 24 | 04:01 PM,HINDALCO,A  / S&P BSE 100,1,Metals & Mining,508.35,512.2,518.45,507.8,620.6,381,513.27,23.92 Cr.,4.66 Lakh,3.55 Lakh,115360.86,"74,984.56 Cr."
500087,CIPLA LTD.,1424,-1.6,-0.11,15 Feb 24 | 04:01 PM,CIPLA,A  / S&P BSE 100,2,Healthcare,1425.6,1427.15,1430.45,1411.7,1462.2,852,1417.28,9.74 Cr.,0.69 Lakh,0.38 Lakh,114968,"75,878.88 Cr."
532187,INDUSIND BANK LTD.,1477.1,-3.8,-0.26,15 Feb 24 | 04:01 PM,INDUSINDBK,A  / S&P BSE SENSEX,10,Financial Services,1480.9,1492.8,1492.8,1461,1694.35,990.25,1474.37,2.93 Cr.,0.20 Lakh,1.02 Lakh,114945.07,"97,703.31 Cr."
500425,AMBUJA CEMENTS LTD.,571,0.15,0.03,15 Feb 24 | 04:01 PM,AMBUJACEM,A  / S&P BSE 100,2,Construction Materials,570.85,573.65,574.8,568.75,587,324.3,571.79,2.68 Cr.,0.47 Lakh,1.70 Lakh,113380.34,"41,950.73 Cr."
542066,Adani Total Gas Ltd,1007.2,-2.25,-0.22,15 Feb 24 | 04:00 PM,ATGL,A  / S&P BSE 200,1,"Oil, Gas & Consumable Fuels",1009.45,1010.7,1033.25,1003.5,1259.9,521.95,1013.82,6.04 Cr.,0.60 Lakh,1.70 Lakh,110772.87,"27,693.22 Cr."
500800,Tata Consumer Products Ltd,1134.5,-0.45,-0.04,15 Feb 24 | 04:01 PM,TATACONSUM,A  / S&P BSE 100,1,Fast Moving Consumer Goods,1134.95,1138.55,1146,1127.25,1216.3,685,1136.26,1.96 Cr.,0.17 Lakh,1.87 Lakh,108099.11,"70,264.42 Cr."
532477,UNION BANK OF INDIA,145.75,6.7,4.82,15 Feb 24 | 04:01 PM,UNIONBANK,A  / S&P BSE 200,10,Financial Services,139.05,140.95,146.45,140.45,155.3,60.32,143.46,40.97 Cr.,28.56 Lakh,27.45 Lakh,108036.43,"24,848.38 Cr."
505200,EICHER MOTORS LTD.,3914.8,12.4,0.32,15 Feb 24 | 04:01 PM,EICHERMOT,A  / S&P BSE 100,1,Automobile and Auto Components,3902.4,3903,3926,3876.05,4201.7,2835.95,3909.1,6.54 Cr.,0.17 Lakh,0.24 Lakh,107177.63,"53,588.82 Cr."
532483,CANARA BANK,587.2,21.1,3.73,15 Feb 24 | 04:01 PM,CANBK,A  / S&P BSE 200,10,Financial Services,566.1,569.85,594.5,567.65,594.5,268.85,580.11,36.15 Cr.,6.23 Lakh,6.55 Lakh,106525.73,"39,414.52 Cr."
500124,DR.REDDY'S LABORATORIES LTD.,6246.9,-13.05,-0.21,15 Feb 24 | 04:01 PM,DRREDDY,A  / S&P BSE 100,5,Healthcare,6259.95,6247.15,6300,6204.5,6411.45,4298.4,6252.89,3.83 Cr.,0.06 Lakh,0.12 Lakh,104199.28,"76,065.48 Cr."
543287,Macrotech Developers Ltd,1059.6,-35.85,-3.27,15 Feb 24 | 04:00 PM,LODHA,A  / S&P BSE 200,10,Realty,1095.45,1091.4,1091.4,1047,1227.85,355.5,1067.91,1.11 Cr.,0.10 Lakh,0.23 Lakh,102199.29,"25,549.82 Cr."
500295,Vedanta Limited,268,-11.2,-4.01,15 Feb 24 | 04:01 PM,VEDL,A  / S&P BSE 100,1,Metals & Mining,279.2,284.2,287.55,255.9,317.9,207.85,267.97,2558.05 Cr.,954.59 Lakh,4.98 Lakh,99620.87,"35,863.51 Cr."
532343,TVS MOTOR COMPANY LTD.,2092.8,5.15,0.25,15 Feb 24 | 04:01 PM,TVSMOTOR,A  / S&P BSE 100,1,Automobile and Auto Components,2087.65,2103.95,2116.95,2051.6,2116.95,1019.9,2086.01,3.11 Cr.,0.15 Lakh,0.21 Lakh,99426.23,"48,718.85 Cr."
532488,DIVI'S LABORATORIES LTD.,3711.45,-6.65,-0.18,15 Feb 24 | 04:01 PM,DIVISLAB,A  / S&P BSE 100,2,Healthcare,3718.1,3723.15,3745,3700,4072.35,2730,3715.64,0.98 Cr.,0.03 Lakh,0.10 Lakh,98527.34,"47,293.12 Cr."
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,8715.05,-41.4,-0.47,15 Feb 24 | 04:01 PM,BAJAJHLDNG,A  / S&P BSE 100,10,Financial Services,8756.45,8748.9,8803.15,8692.9,8850,5791.05,8754.29,0.29 Cr.,0.00 Lakh,0.01 Lakh,96992.85,"32,007.64 Cr."
