SecurityCode,companyName
543428,Data Patterns (India) Ltd
533095,BENGAL & ASSAM COMPANY LTD.
543425,C.E. Info Systems Ltd
532939,RELIANCE POWER LTD.
532210,CITY UNION BANK LTD.
532670,SHREE RENUKA SUGARS LTD.
543228,Route Mobile Ltd
531335,ZYDUS WELLNESS LTD.-$
532800,TV18 BROADCAST LTD.
523405,JM FINANCIAL LTD.-$
540743,Godrej Agrovet Ltd
517146,USHA MARTIN LTD.
543275,Anupam Rasayan India Ltd
530019,Jubilant Pharmova Ltd
538962,Minda Corporation Ltd
539807,Infibeam Avenues Ltd
523025,SAFARI INDUSTRIES (INDIA) LTD.
500690,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.
500670,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.
532443,CERA SANITARYWARE LTD.
544045,DOMS Industries Ltd
542011,Garden Reach Shipbuilders & Engineers Ltd
500390,RELIANCE INFRASTRUCTURE LTD.
533248,GUJARAT PIPAVAV PORT LTD.
522205,PRAJ INDUSTRIES LTD.
543959,SBFC Finance Ltd
531500,RAJESH EXPORTS LTD.
543482,Eureka Forbes Ltd
544057,Happy Forgings Ltd
543276,Craftsman Automation Ltd
540935,Galaxy Surfactants Ltd
543957,Redtape Ltd
543573,Syrma SGS Technology Ltd
532313,MAHINDRA LIFESPACE DEVELOPERS LTD.
500338,Prism Johnson Ltd
523704,MASTEK LTD.
524558,NEULAND LABORATORIES LTD.
542650,Metropolis Healthcare Ltd
543413,Tega Industries Ltd
519600,CCL PRODUCTS (INDIA) LTD.
543272,Easy Trip Planners Ltd
540575,Star Cement Ltd
543397,Sapphire Foods India Ltd
500126,Procter & Gamble Health Ltd
542323,KPI Green Energy Ltd
542141,Techno Electric & Engineering Company Ltd
532652,KARNATAKA BANK LTD.
500266,MAHARASHTRA SCOOTERS LTD.
524226,GUJARAT AMBUJA EXPORTS LTD.
534618,Waaree Renewable Technologies Ltd
539302,Power Mech Projects Ltd
543626,Electronics Mart India Ltd
524230,RASHTRIYA CHEMICALS & FERTILIZERS LTD.
500133,ESAB INDIA LTD.
543259,Home First Finance Company India Ltd
543980,Jupiter Life Line Hospitals Ltd
533088,MAHINDRA HOLIDAYS & RESORTS INDIA LTD.
505509,RESPONSIVE INDUSTRIES LTD.
532468,Kama Holdings Limited-$
500245,KIRLOSKAR FERROUS INDUSTRIES LTD.
533169,MAN INFRACONSTRUCTION LTD.
532638,SHOPPERS STOP LTD.
543965,TVS Supply Chain Solutions Ltd
543945,Netweb Technologies India Ltd
500413,THOMAS COOK (INDIA) LTD.
504614,SARDA ENERGY & MINERALS LTD.-$
504918,SANDUR MANGANESE & IRON ORES LTD.
500101,ARVIND LTD.
541195,Mishra Dhatu Nigam Ltd
532156,Vaibhav Global Ltd
543657,Archean Chemical Industries Ltd
532915,RELIGARE ENTERPRISES LTD.
530813,KRBL LTD.
513023,Nava Ltd
541578,Varroc Engineering Ltd
543271,Jubilant Ingrevia Ltd
500038,BALRAMPUR CHINI MILLS LTD.
543427,Medplus Health Services Ltd
532942,KNR CONSTRUCTIONS LTD.
507880,V.I.P.INDUSTRIES LTD.-$
532163,SAREGAMA INDIA LTD.
543669,Keystone Realtors Ltd
532531,Strides Pharma Science Ltd
543596,Tamilnad Mercantile Bank Ltd
538730,PDS Ltd
533326,TEXMACO RAIL & ENGINEERING LTD.
532749,ALLCARGO LOGISTICS LTD.
531599,FDC LTD.
532757,VOLTAMP TRANSFORMERS LTD.
524404,MARKSANS PHARMA LTD.
520113,VESUVIUS INDIA LTD.
532356,TRIVENI ENGINEERING & INDUSTRIES LTD.
543523,Campus Activewear Ltd
530005,INDIA CEMENTS LTD.
538891,Magellanic Cloud Ltd
535648,JUST DIAL LTD.
539978,Quess Corp Ltd
530999,BALAJI AMINES LTD.-$
532218,SOUTH INDIAN BANK LTD.
543297,Inox Wind Energy Ltd
543336,Chemplast Sanmar Ltd
530343,GENUS POWER INFRASTRUCTURES LTD.-$
543258,Indigo Paints Ltd
500214,ION EXCHANGE (INDIA) LTD.-$
500241,KIRLOSKAR BROTHERS LTD.-$
543277,Laxmi Organic Industries Ltd
509557,Garware Technical Fibres Ltd
531543,JINDAL WORLDWIDE LTD.
502219,Borosil Renewables Ltd
542759,Spandana Sphoorty Financial Ltd
512573,AVANTI FEEDS LTD.-$
533339,ZEN TECHNOLOGIES LTD.
500336,SURYA ROSHNI LTD.
532922,Edelweiss Financial Services Ltd.
544044,India Shelter Finance Corporation Ltd
532642,JSW Holdings Limited
539874,Ujjivan Financial Services Ltd
532349,TRANSPORT CORPORATION OF INDIA LTD.
512179,SUNTECK REALTY LTD.
542597,MSTC Ltd
532811,AHLUWALIA CONTRACTS (INDIA) LTD.
500123,ELANTAS BECK INDIA LTD.-$
542907,Prince Pipes and Fittings Ltd
500185,HINDUSTAN CONSTRUCTION CO.LTD.
532162,JK PAPER LTD.
540047,Dilip Buildcon Ltd
540725,Share India Securities Ltd
538979,Greenlam Industries Ltd
509631,HEG LTD.
543530,Paradeep Phosphates Ltd
533033,ISGEC Heavy Engineering Ltd
542867,CSB Bank Ltd
543401,Go Fashion (India) Ltd
500033,FORCE MOTORS LTD.-$
533282,GRAVITA INDIA LTD.
532832,INDIABULLS REAL ESTATE LTD.
500645,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.
543350,Vijaya Diagnostic Centre Ltd
532300,WOCKHARDT LTD.
526367,GANESH HOUSING CORPORATION LTD.-$
543952,NIIT Learning Systems Ltd
543242,Hemisphere Properties India Ltd
544061,Azad Engineering Ltd
532783,LT FOODS LTD.
517385,Symphony Limited
505255,GMM PFAUDLER LTD.
532532,JAIPRAKASH ASSOCIATES LTD.
543280,Nazara Technologies Ltd
542484,Arvind Fashions Ltd
543942,Utkarsh Small Finance Bank Ltd
505355,NESCO LTD.
543933,Cyient DLM Ltd
509496,ITD CEMENTATION INDIA LTD.
512329,SG Mart Ltd
500135,EPL Ltd
532375,TIPS INDUSTRIES LTD.
512237,JAI CORP LTD.
532029,Sindhu Trade Links Limited
500339,Rain Industries Ltd
522285,JAYASWAL NECO INDUSTRIES LTD.
532900,Paisalo Digital Ltd
532493,ASTRA MICROWAVE PRODUCTS LTD.
541019,H.G. Infra Engineering Ltd
543936,Senco Gold Ltd
543253,Mrs. Bectors Food Specialities Ltd
519126,HINDUSTAN FOODS LTD.
543306,Dodla Dairy Ltd
532189,INDIA TOURISM DEVELOPMENT CORPORATION LTD.
533286,MOIL LTD.
544022,ASK Automotive Ltd
530001,GUJARAT ALKALIES & CHEMICALS LTD.
532524,PTC INDIA LTD.
543532,Ethos Ltd
544009,Blue Jet Healthcare Ltd
543270,MTAR Technologies Ltd
533122,RattanIndia Power Limited
543441,CMS Info Systems Ltd
543325,Rolex Rings Ltd
539992,Lloyds Engineering Works Ltd
524372,Orchid Pharma Ltd
509966,VST INDUSTRIES LTD.
543652,Fusion Micro Finance Ltd
532835,ICRA LTD.
531120,PATEL ENGINEERING LTD.-$
532374,STERLITE TECHNOLOGIES LTD.
532735,R Systems International Limited
540749,MAS Financial Services Ltd
505726,IFB INDUSTRIES LTD.
531358,CHOICE INTERNATIONAL LTD.
505890,KENNAMETAL INDIA LTD.-$
543358,Sansera Engineering Ltd
543527,Prudent Corporate Advisory Services Ltd
521016,INDO COUNT INDUSTRIES LTD.
535754,Orient Cement Ltd
532891,Puravankara Ltd
543248,Restaurant Brands Asia Ltd
532668,AURIONPRO SOLUTIONS LTD.
543489,Gateway Distriparks Ltd
533151,D B Corp Ltd
