SecurityCode,companyName,Feb16
532756,CIE Automotive India Ltd,18372.52
543664,Kaynes Technology India Ltd,18285.04
520056,TVS Holdings Ltd,18215.76
541556,RITES Ltd,18089.93
532371,TATA TELESERVICES (MAHARASHTRA) LTD.,17995.11
543308,Krishna Institute of Medical Sciences Ltd,17863.8
543635,Piramal Pharma Ltd,17780.42
532439,Olectra Greentech Ltd,17530.8
524200,VINATI ORGANICS LTD.-$,17522.8
532926,Jyothy Labs Ltd,17440.57
543335,Aptus Value Housing Finance India Ltd,17245.31
500084,CESC LTD.,17232.42
542399,Chalet Hotels Ltd,17228.34
544012,Cello World Ltd,17192.84
505537,ZEE ENTERTAINMENT ENTERPRISES LTD.,17159.68
532714,KEC INTERNATIONAL LTD.,17154.22
543064,Suven Pharmaceuticals Ltd,17063.49
500238,WHIRLPOOL OF INDIA LTD.,16883.47
500378,JINDAL SAW LTD.,16795.08
542726,IndiaMART InterMESH Ltd,16665.81
543981,R R Kabel Ltd,16573.64
500003,AEGIS LOGISTICS LTD.,16442.6
500040,CENTURY TEXTILES & INDUSTRIES LTD.,16324.88
532805,Redington Ltd,16315.63
542752,Affle (India) Ltd,16262.65
532976,JAI BALAJI INDUSTRIES LTD.,16138.09
532548,CENTURY PLYBOARDS (I) LTD.-$,16128.65
500184,Himadri Speciality Chemical Ltd,15997.21
533272,Jupiter Wagons Ltd,15924.84
500252,LAKSHMI MACHINE WORKS LTD.,15853.14
532209,JAMMU & KASHMIR BANK LTD.,15840.51
540073,BLS International Services Ltd,15800.56
540065,RBL Bank Ltd,15763.39
532504,Navin Fluorine International Limited-$,15737.92
531213,MANAPPURAM FINANCE LTD.,15515.15
543415,Anand Rathi Wealth Ltd,15437.36
522287,Kalpataru Projects International Ltd,15403.14
500183,HFCL Ltd,15366.45
500144,FINOLEX CABLES LTD.,15257.99
523367,DCM Shriram Limited,15242.58
543988,Nuvama Wealth Management Ltd,15228.55
500085,CHAMBAL FERTILISERS & CHEMICALS LTD.,15214.41
531768,POLY MEDICURE LTD.,15111.55
539957,Mahanagar Gas Ltd,15014.72
526612,BLUE DART EXPRESS LTD.,14964.97
543318,Clean Science and Technology Ltd,14905.2
514162,Welspun Living Ltd,14873.53
544081,Jyoti CNC Automation Ltd,14840.49
500110,CHENNAI PETROLEUM CORPORATION LTD.,14734.78
543960,Concord Biotech Ltd,14724.21
590003,KARUR VYSYA BANK LTD.,14658.52
517271,HBL POWER SYSTEMS LTD.-$,14652.52
500008,Amara Raja Energy & Mobility Ltd,14610.45
533655,TRIVENI TURBINE LTD.,14566.71
500294,NCC Limited,14496.98
500042,BASF INDIA LTD.,14405.46
532144,Welspun Corp Limited,14385.14
532627,Jaiprakash Power Ventures Limited,14337.44
500249,KSB Ltd,14210.82
543232,Computer Age Management Services Ltd,14201.62
544014,Honasa Consumer Ltd,14126.29
542760,Sterling and Wilson Renewable Energy Ltd,14079.87
539177,Authum Investment & Infrastructure Ltd,14068.27
500163,GODFREY PHILLIPS INDIA LTD.,13944.51
500940,FINOLEX INDUSTRIES LTD.,13929.71
532762,ACTION CONSTRUCTION EQUIPMENT LTD.,13926.18
543374,Aditya Birla Sun Life AMC Ltd,13904.56
535789,Indiabulls Housing Finance Ltd,13879.79
532809,FIRSTSOURCE SOLUTIONS LTD.,13824.81
500405,SUPREME PETROCHEM LTD.,13749.58
506820,ASTRAZENECA PHARMA INDIA LTD.,13746.75
540902,Amber Enterprises India Ltd,13673.59
532953,V-GUARD INDUSTRIES LTD.,13662.57
500620,GREAT EASTERN SHIPPING CO.LTD.,13594.4
532689,PVR Inox Ltd,13576.9
533160,D B Realty Ltd,13575
543653,Bikaji Foods International Ltd,13566.96
532527,RAMKRISHNA FORGINGS LTD.,13510.31
534139,SCHNEIDER ELECTRIC INFRASTRUCTURE LTD.,13478.29
532790,Tanla Platforms Ltd,13389.51
500335,BIRLA CORPORATION LTD.,13355.04
530007,JK TYRE & INDUSTRIES LTD.,13341.23
541557,Fine Organic Industries Ltd,13301.37
532966,Titagarh Rail Systems Ltd,13298.36
532784,Sobha Limited,13260.87
533293,KIRLOSKAR OIL ENGINES LTD.,13140.72
500106,IFCI LTD.,13097.86
515030,ASAHI INDIA GLASS LTD.,13096.47
500048,BEML LTD.,13091.16
540750,Indian Energy Exchange Ltd,13089.12
532181,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,12990.3
532178,ENGINEERS INDIA LTD.,12980.37
534076,Rhi Magnesita India Ltd,12962.09
502986,VARDHMAN TEXTILES LTD.,12874.06
500710,Akzo Nobel India Limited,12773.83
543524,Rainbow Children's Medicare Ltd,12754.19
543227,Happiest Minds Technologies Ltd,12751.49
505533,Westlife Foodworld Ltd,12735.31
500265,MAHARASHTRA SEAMLESS LTD.,12670.25
540595,Tejas Networks Ltd,12596.69
543265,RailTel Corporation of India Ltd,12521.41
501425,BOMBAY BURMAH TRADING CORP.LTD.,12473.12
538835,Intellect Design Arena Ltd,12428.68
543334,Nuvoco Vistas Corporation Ltd,12407.6
513377,MMTC LTD.,12336
532798,NETWORK18 MEDIA & INVESTMENTS LTD.,12301.65
532872,SUN PHARMA ADVANCED RESEARCH COMPANY LTD.,12239.33
524742,CAPLIN POINT LABORATORIES LTD.,12137.01
543243,Equitas Small Finance Bank Ltd,12081.47
504067,ZENSAR TECHNOLOGIES LTD.,12071.44
506590,PCBL Ltd,12007.09
500031,BAJAJ ELECTRICALS LTD.-$,11864.71
534597,Rattanindia Enterprises Ltd,11807.35
515055,Anant Raj Limited-$,11803.31
500330,RAYMOND LTD.,11741.94
540596,Eris Lifesciences Ltd,11724.28
540203,Sheela Foam Ltd,11719.2
500878,CEAT LTD.,11708.08
505700,ELECON ENGINEERING CO.LTD.,11701.9
543238,UTI Asset Management Company Ltd,11596.01
543534,Aether Industries Ltd,11560.37
543317,G R Infraprojects Ltd,11544.67
543428,Data Patterns (India) Ltd,11513.38
539006,PTC Industries Ltd,11446.68
541988,AAVAS Financiers Ltd,11413.84
506767,ALKYL AMINES CHEMICALS LTD.-$,11376.46
532927,ECLERX SERVICES LTD.,11348.88
500380,JK LAKSHMI CEMENT LTD.,11347.51
532482,GRANULES INDIA LTD.-$,11276.2
523598,SHIPPING CORPORATION OF INDIA LTD.,11144.24
500210,INGERSOLL-RAND (INDIA) LTD.,11071.69
